id,tier,score,bucket,theme,type,title,what,why,modules,effort,impact,depends_on,novelty,status,evidence,notes
R014,2 - High,83,B3,Maritime Risk & Geopolitics,data,Drive chokepoint risk_level from GDELT + canal transit feeds,Add data/gdelt_feed.py (keyless GKG geo-events) + reuse canal_feed transits; derive Chokepoint.current_risk_level/disruption_type live instead of hardcoded constants read by compute_chokepoint_risk_score().,"The #1 SSI weight (0.29) runs on hand-edited constants (suez CRITICAL, hormuz HIGH); the headline stress index cannot move when a chokepoint actually escalates.",data/gdelt_feed.py; processing/chokepoint_analyzer.py; data/canal_feed.py; processing/shipping_stress_index.py,L,High,,sharpened,verified,"chokepoint_analyzer.py:55,78 hardcoded risk/type; shipping_stress_index.py:54 weight 0.29; no GDELT/ACLED in repo; analyzer never imports canal_feed",impact92 feas62 fit95 nov72 — moves the #1 SSI weight from constants to a free keyless feed; make-data-real core | Confirmed all claims: hardcoded fields feed compute_chokepoint_r…
R015,2 - High,83,B6,"UX, Visualization & LLM",feature,Build end-to-end cascade ribbon Sankey (chokepoint→SSI→route→equity),"New processing/cascade_ribbon.py:to_cascade_sankey(attribution, ideas) emits {labels,source,target,value}, chaining ComponentContribution→RouteContribution→CascadeLink; render via existing _build_sankey_figure.","Every signal layer is decomposed in dataclasses but only shown as tables (attribution is UI-invisible, used only by narration); one alluvial makes 'why this equity' legible end-to-end.",processing/cascade_ribbon.py; processing/ssi_attribution.py; processing/disruption_cascade.py; ui/tab_world_graph.py,M,High,,sharpened,verified,ssi_attribution.py:59/70 Comp/RouteContribution; disruption_cascade.py:434/451/466 CascadeLink+cascade_chain; tab_world_graph.py:348 _build_sankey_fi…,impact88/feas80/fit88/nov75: makes the core decomposability legible; all dataclasses + renderer already exist | All cites accurate; cascade_ribbon.py absent; no ribbon exists; att…
R016,2 - High,82,B2,Track Record & Coherent Risk,refactor,Replace in-sample re-run validator with out-of-sample walk-forward on the frozen ledger,Rewrite build_validation_report to read a frozen point-in-time signal ledger (not re-score today's ideas over past returns) and compute per-tier directional hit-rate on strictly post-issue realized returns vs an equal-weight baseline.,"Validator scores TODAY's signals on history (look-ahead) and is fed an empty stress_report at the call site, so its hit-rate is non-causal and uninformative.",processing/signal_validation.py; ui/tab_backtest.py,L,High,"Freeze every EquityIdea at issue into a point-in-time signal ledger, marked daily to live…",sharpened,verified-revised,"signal_validation.py:13-39 re-run framing,:401-436 pools all windows,:670 wrapper; tab_backtest.py:626 empty SSI; DATA_PROVENANCE:113-114",impact 90/feas 80/fit 95/nov 70 — converts the headline validator from look-ahead to causal | Verified all cites; no signal ledger exists in state/processing/tools so depends_on i…
R017,2 - High,82,B7,"Platform, Scale & Code Quality",fix,Renormalize PORT_TRAFFIC_WEIGHTS at load + lock-in test,In ports/port_registry.py renormalize each country dict to 1.0 at load (or document a 'tracked-port share' fraction + fix the false comment). Add a test asserting per-country sums.,"USA sums 0.69, CHN 0.95 vs comment 'sums to 1.0'; the missing 31%/5% silently vanishes across 4 consumers incl. the headline TEU map — the two dominant container nations.",ports/port_registry.py; data/comtrade_feed.py; data/worldbank_feed.py; processing/port_teu_map.py,S,Med,,sharpened,verified,port_registry.py:184 comment 'sums to 1.0'; :187 USA=0.22+0.21+0.16+0.10=0.69; :189 CHN sums 0.95; no normalize in any of 4 consumers,impact82/feas92/fit88/nov65: verified USA=0.69/CHN=0.95 vs '1.0' comment; corrupts the headline TEU map = data-real throughline | Verified 0.69/0.95 vs comment; all 4 consumers mu…
R018,2 - High,80,B6,"UX, Visualization & LLM",feature,Build a grounded RAG corpus over decomposed signals with citations + provenance linter,"New engine/signal_corpus.py indexing ssi_attribution ComponentContribution rows, cascade hops, snapshot diffs + historical_events into citable chunks; narration_engine/tab_commentary cite chunk_id per claim, tag each value's quality.py Dat…",narration_engine.py:1214 'Never invent numbers' is an unenforced prompt string; no retrieval/provenance substrate exists to make LLM output auditable.,engine/signal_corpus.py(new); processing/ssi_attribution.py; data/historical_events.py; engine/narration_engine.py; engine/tab_commentary.py; data/quality.py,L,High,,sharpened,verified-revised,signal_corpus.py absent; no embed/chunk in engine|processing; narration_engine.py:1214 prompt-only; quality.py:33 DataKind; ssi_attribution.py:59 Com…,"impact90/feas75/fit98/nov80: merged corpus+linter; the substrate every other LLM item rides on, pure honesty play | All citations accurate, module net-new. Bumped M->L (corpus+ret…"
R019,2 - High,80,B4,Trading & Freight-as-Asset,data,Replace synthetic optimizer panel with persisted real per-ticker returns,Pass the already-real in-memory stock_data (180d yfinance) into _render_optimization_lab/_render_optimization_mini and derive a daily-returns panel (analog of _weekly_log_returns) instead of _synth_returns_panel; add a db price-history tab…,"Both optimizer renderers run on a synth panel, yet render() already holds real per-ticker history and _weekly_log_returns already builds real returns from it — the renderers just aren't handed stock_…",ui/tab_portfolio.py; ui/tab_idea_engine.py; state/db.py; worker/scheduler.py; data/stock_feed.py,M,High,,new,SHIPPED (next commit),"tab_portfolio.py:1003/1369 synth + render(stock_data) 1324, _weekly_log_returns 845; tab_idea_engine.py:448,566 synth, render stock_data 506","[done 2026-06-04] impact95 feas72 fit95 nov78 — unblocks every sized/VaR number; pure-honesty foundation, real feed already exists | Confirmed both synth panels + optimizer feed; but 'only persiste…"
R020,2 - High,80,B8,Decarbonization & Monetization,feature,"Add entitlement layer: scope tokens to a plan, enforce in one gate",Add nullable plan_id+scopes to api_tokens (schema v29) and resolve_entitlement(user_id)->Plan; enforce per-route feature/quota in _authenticate_or_reject before dispatch.,No tier/quota/SKU/entitlement concept exists in auth/state/worker; every authed token has identical full access. Spine any paid feature would bolt onto.,auth/tokens.py; auth/entitlements.py (new); worker/api_server.py; state/migrations.py,M,Med,,sharpened,verified-revised,entitlements.py absent; grep plan/tier/quota/SKU=0 in auth/state/worker; last migration _migrate_to_v28 (migrations.py:1189); gate api_server.py:355 …,"impact90 feas80 fit80 nov88; monetization spine 3 SKUs depend on it, single clean gate, no infra | Verified all claims accurate; v29 correct (schema at v28). Gate is 1 fn called p…"
R021,2 - High,80,B2,Track Record & Coherent Risk,data,Replace the synthetic Risk-Lab returns panel with real cached prices,"In tab_risk_lab.render, build returns_df from stock_data close cols (reuse tab_portfolio._weekly_log_returns / pct_change) instead of _synth_returns_panel; keep synth as explicit DataSource.demo fallback when prices dark.",VaR/regime sit on a stable_hash panel with fixed 0.30 corr (no real covariance/tails). stock_data is already passed into render(app.py:1658) but ignored; a real-returns builder already exists.,ui/tab_risk_lab.py; ui/tab_portfolio.py (_weekly_log_returns reuse); data/stock_feed.py,S,High,,new,SHIPPED (next commit),tab_risk_lab.py:94 corr=0.30; :431 _synth_returns_panel; app.py:1658 stock_data passed; tab_portfolio.py:845 _weekly_log_returns,"[done 2026-06-04] impact 80/feas 95/fit 90/nov 60 — S-effort, kills the synthetic VaR substrate | Confirmed synthetic panel live + still open; real prices/builder exist & stock_data already in rend…"
R022,2 - High,80,B5,"Ops, Resilience & Alerting",feature,Build reroute recommender + costed failover for broken lanes,"New processing/reroute_recommender.py: when an origin/dest/chokepoint is stressed, rank substitute corridors by congestion-headroom (predict_congestion band vs baseline) + transit-day delta + supply-deficit headroom + $/FEU delta (RouteOpp…",optimizer scores 17 fixed ROUTES and never proposes a substitute when a lane breaks; operators need the costed detour. Congestion bands + supply deficits already exist.,processing/reroute_recommender.py; processing/congestion_predictor.py; routes/optimizer.py; processing/port_supply_lines.py; ui/tab_intermodal.py,M,High,,sharpened,verified-revised,optimizer.py:67 loops ROUTES only; congestion_predictor.py:387 band_30d; port_supply_lines.py:83 supply_deficit_days; tab_intermodal.py:109 hardcoded…,"MERGED ops+resilience dupes; impact86/feas78/fit85/nov75; substrate exists, the missing decision layer | Module absent (grep 0), optimizer fixed-route confirmed; fixed: rate_estim…"
R023,2 - High,80,B2,Track Record & Coherent Risk,feature,Emit honest intervals from StressForecast (band + sigma),"Add stress_7d_band/stress_30d_band (low,high) + forecast_sigma to the StressForecast dataclass, derived from blended congestion-band + MC-tail dispersion, so every forward stress number ships an interval that can be PIT/coverage-scored.","StressForecast emits only point stress_7d/stress_30d plus MC tails — no interval at all, so it cannot be coverage-scored and the UI shows false precision. Prerequisite for every calibration/coverage …",processing/disruption_forecast.py; processing/monte_carlo.py,M,High,,new,carried,"disruption_forecast.py:114-128 StressForecast has stress_7d/30d + mc_p90/mc_p10 only, no band/sigma field",impact 82/feas 80/fit 88/nov 70 — unblocks PIT/coverage/calibration cluster
R024,2 - High,80,B3,Maritime Risk & Geopolitics,data,Join real OFAC SDN + EU/UK and Paris/Tokyo MoU detention feeds into compliance + geopolit…,New data/sanctions_feed.py fetching the public OFAC SDN consolidated list (free CSV/XML) + EU/UK lists and Paris/Tokyo MoU detention lists; match by IMO/name against voyages and carriers; replace tab_compliance _SANCTIONS_ROWS/_PSC_DETENTI…,"OFAC SDN + MoU detentions are genuinely free, real, and have zero synthetic fallback — the single cheapest Theme D/H feed to flip from modeled to real, with high credibility across two tabs.",data/sanctions_feed.py; data/voyage_dataset.py; ui/tab_compliance.py; ui/tab_geopolitical.py; processing/company_profiler.py,M,High,Add flag/owner/IMO/build-year fields to Voyage dataclass,sharpened,carried,tab_compliance.py:59 _COMPLIANCE_SOURCES all modeled/demo; :70 _SANCTIONS_ROWS + :366 _PSC_DETENTIONS hardcoded; tab_geopolitical.py:145 _SANCTIONS h…,"impact85 feas68 fit92 nov68 — MERGE of two sanctions-feed candidates; pure-real zero-fallback feed, two surfaces unioned"
R025,2 - High,80,B3,Maritime Risk & Geopolitics,feature,Build tariff pass-through & trade-diversion engine behind Trade War tab,"New processing/tariff_engine.py: HS tariff_rate × comtrade _COUNTRY_CATEGORY_SHARES × exposure_matrix ETF map → value-at-risk per commodity + elasticity-weighted diversion to alt-origins; render() in tab_trade_war.py consumes it, deleting …","Trade War tab is a frozen facade (render ignores args, $244B/214-ships hardcoded); tariffs are live movers absent from the cascade entirely.",processing/tariff_engine.py; data/comtrade_feed.py; processing/exposure_matrix.py; ui/tab_trade_war.py,M,High,,sharpened,carried,tab_trade_war.py:72-103 hardcoded _COMMODITIES (244 burden) /_TRADE_DEALS; :144 '214' ships hardcoded; render(macro_data...) at :564 ignores inputs; …,impact88 feas70 fit88 nov70 — de-mocks Trade War facade; reuses comtrade shares + exposure matrix chassis
R026,2 - High,80,B6,"UX, Visualization & LLM",feature,Add an LLM spend governor gating every Claude call on a daily budget,"New engine/llm_budget.py reading llm_telemetry.get_usage_summary(window_days=1); gate generate_daily_narration, build_commentary and generate_tldr — if today's cost exceeds the per-user cap, return the template fallback instead of calling …","All three Claude paths call the API unconditionally once a key is present; telemetry exists but nothing reads it pre-call, so spend is uncapped.",engine/llm_telemetry.py; engine/narration_engine.py; engine/tab_commentary.py,S,Med,,sharpened,carried,narration_engine.py:1768-1777 calls Claude with no budget check (confirmed); llm_telemetry.py:193 get_usage_summary exists but unused pre-call,"impact72/feas92/fit80/nov70: small, closes a real cost leak, reuses existing telemetry; unblocks NL-SQL/agent paths"
R027,2 - High,80,B7,"Platform, Scale & Code Quality",test,Add per-metric backtest baseline-drift gate to CI,"Persist a committed baseline of each BacktestResult's headline metric (sign_agreement_rate, delay_mae, jaccard...) in a JSON fixture; tools/backtests.py --strict fails if any metric regresses beyond a tolerance, not just when it crosses th…","Validators flip 'healthy' only at 0.55, so a real regression (80%→56% sign-agreement) passes CI silently. The platform's only model-quality guard can't see drift above the floor.",tools/backtests.py; processing/signal_validation.py,M,Med,,sharpened,carried,tools/backtests.py:71/101/130 'healthy = ...>= 0.55' boolean; no per-metric baseline comparison in run_all_backtests/main,"impact78/feas78/fit92/nov72: verified hardcoded 0.55 floor, no drift gate; directly serves validate-vs-P&L throughline"
R028,2 - High,80,B8,Decarbonization & Monetization,feature,Wire carbon cost as recurring DCF term in valuation,"Add carbon_opex field + apply_carbon_drag(inputs, annual_ets_cost) to processing/valuation.py that subtracts the ETS/FuelEU bill from projected FCF before discounting, tagged 'modeled' in input_provenance; expose via build_disruption_scena…",valuation DCF projects FCF with zero carbon line; a Maersk-scale ETS+FuelEU obligation grows ~yearly and materially compresses fair value the model currently overstates.,processing/valuation.py; processing/carbon_cost_engine.py,M,High,Build EU-ETS phase-in + FuelEU penalty cost engine,sharpened,carried,valuation.py:128-157 ValuationInputs has fcf/growth/discount but no carbon_opex; module never imports carbon,"impact85 feas75 fit85 nov72; corrects overstated fair value with real reg, feeds the P&L-relevant headline"
R029,2 - High,79,B2,Track Record & Coherent Risk,feature,Add reliability + Brier/CRPS/PIT scoring to the forecast tracker,Add brier_score/crps/reliability_curve/pit_histogram fns to forecast_accuracy_tracker.py beside summarize_accuracy; ForecastRecord gains predicted_sigma + baseline_value so each pair yields a PIT value and coverage stat.,"summarize_accuracy ships only MAE and explicitly disavows calibration (docstring 421), so a quoted forecast has no honesty check that its stated interval covers reality.",processing/forecast_accuracy_tracker.py; processing/disruption_forecast_backtest.py,M,High,Emit honest intervals from StressForecast (band + sigma),sharpened,carried,"forecast_accuracy_tracker.py:405-421 summarize_accuracy = MAE only, docstring 'carries NO directional/calibration'",impact 80/feas 80/fit 85/nov 70 — calibration substrate atop the wired log
R030,2 - High,79,B5,"Ops, Resilience & Alerting",feature,Build multi-dimension SPOF radar across chokepoint/country/carrier/commodity,"New processing/spof_radar.py computing live HHI on four axes (chokepoint, origin-country, carrier, commodity) off exposure_matrix + chokepoint_analyzer, not just port; reuse _hhi from company_supply_risk. Emit a SPOF_DIMENSION alert per br…",company_concentration_alerts is port-only and vulnerability_scorer uses hardcoded concentration constants; a book can look port-diversified yet be 80% Suez-dependent.,processing/spof_radar.py; processing/exposure_matrix.py; processing/chokepoint_analyzer.py; engine/alert_engine_v2.py,M,High,,sharpened,carried,company_concentration_alerts.py:1-10 port-only by docstring; vulnerability_scorer.py:42-108 concentration hardcoded per-route,impact82/feas80/fit80/nov74; reuses _hhi + exposure_matrix; multi-axis is genuinely new vs port-only
R031,2 - High,78,B4,Trading & Freight-as-Asset,feature,Add a conviction-to-weight position sizer driving target weights,"New engine/position_sizer.py size_from_conviction(ideas, returns, mode): vol-target (w∝conviction/σ to a book-vol budget) + fractional-Kelly, all constants published; feed EquityIdea.conviction_score+direction.","conviction_score[0,1] is computed (cascade:1057) but never sized; the idea-engine optimizer runs on _synth_returns_panel and ignores conviction — a PM trades weights, not a label.",engine/position_sizer.py (new); processing/disruption_cascade.py; ui/tab_idea_engine.py; processing/risk_lab.py,M,High,Replace synthetic optimizer panel with persisted real per-ticker returns,sharpened,verified,"tab_idea_engine.py:448-449 optimize on _synth_returns_panel; optimizer sig 245-255 takes no conviction; cascade:1057,463","impact86 feas80 fit85 nov72 — turns ordinal conviction into a tradeable book; small pure-fn build on existing chassis | Verified: no position_sizer.py, no Kelly/vol-target, optimi…"
R032,2 - High,78,B1,Honesty & Real Data,data,Replace hardcoded weather almanac with Open-Meteo Marine feed,"Add data/marine_weather_feed.py calling Open-Meteo Marine + Forecast APIs (free, keyless) for wave height/wind/gusts at each route's chokepoint waypoints; have compute_route_weather_risk blend the live current_risk_score over the static WE…",Weather is SSI weight 0.16 and is a 100%-hardcoded 18-event almanac that never calls an API and has no DataSource. Open-Meteo is keyless and turns the #2 named delay source into observed data.,processing/weather_risk.py; data/marine_weather_feed.py; routes/route_registry.py; ui/styles.py,M,High,,sharpened,carried,"VERIFIED weather_risk.py grep DataSource->0; WEATHER_RISK_EVENTS hardcoded, no requests/http call; feeds shipping_stress_index",impact82/feas78/fit85/nov65; keyless feed on #2 SSI weight; merges the weather-provenance + live-weather candidates
R033,2 - High,78,B2,Track Record & Coherent Risk,feature,Recalibrate conviction labels to empirical hit probabilities,Add isotonic/Platt fit in signal_validation.py mapping raw conviction_score→realized tier hit-rate; expose calibrated_prob + a reliability table and replace the hardcoded _CONVICTION_BANDS thresholds with fitted cut-points.,"conviction_label comes from fixed _CONVICTION_BANDS (cascade.py:421) and never maps to a measured probability, so 'High' has no honest P(hit) behind it.",processing/signal_validation.py; processing/disruption_cascade.py,M,High,Replace in-sample re-run validator with out-of-sample walk-forward on the frozen ledger,sharpened,carried,disruption_cascade.py:421 _CONVICTION_BANDS hardcoded + :898-903 _conviction_band purely static; signal_validation.py:340-390 outputs hit_rate only,impact 82/feas 72/fit 88/nov 68 — turns ordinal labels into honest probabilities
